Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,403.989990,408.239990,398.359985,407.809998,407.809998,1396700
2020-01-03,401.600006,408.403015,397.000000,404.290009,404.290009,1031700
2020-01-06,398.589996,413.519989,395.420013,413.329987,413.329987,1686000
2020-01-07,415.750000,422.480011,410.119995,414.500000,414.500000,1552900
2020-01-08,413.929993,422.545013,411.859985,418.100006,418.100006,1550100
2020-01-09,423.100006,431.709991,421.790009,430.200012,430.200012,1784400
2020-01-10,432.489990,438.559998,427.670013,429.170013,429.170013,1804100
2020-01-13,434.989990,446.744995,433.750000,440.250000,440.250000,1999800
2020-01-14,442.769989,445.920013,430.500000,441.220001,441.220001,1505500
2020-01-15,441.920013,453.000000,441.220001,448.510010,448.510010,1632900
2020-01-16,452.739990,453.779999,446.640015,451.299988,451.299988,1466900
2020-01-17,452.730011,458.910004,452.000000,454.880005,454.880005,1869200
2020-01-21,454.989990,472.859985,454.089996,465.440002,465.440002,2139300
2020-01-22,470.000000,476.786011,463.170013,464.760010,464.760010,2358400
2020-01-23,464.769989,473.000000,460.000000,469.250000,469.250000,2445000
2020-01-24,474.000000,476.510010,457.829987,465.480011,465.480011,2141100
2020-01-27,447.619995,459.899994,436.739990,451.109985,451.109985,2247400
2020-01-28,453.500000,468.670013,451.100006,467.660004,467.660004,1536100
2020-01-29,473.390015,480.045990,470.450012,471.670013,471.670013,1808500
2020-01-30,470.500000,478.149994,464.660004,476.880005,476.880005,1507100
2020-01-31,480.579987,482.869995,463.019989,465.660004,465.660004,2180200
2020-02-03,468.250000,474.880005,457.250000,469.390015,469.390015,1850700
2020-02-04,476.390015,487.679993,471.790985,485.459991,485.459991,1779800
2020-02-05,493.500000,495.000000,467.958008,475.559998,475.559998,2131700
2020-02-06,473.160004,475.730011,462.500000,472.980011,472.980011,1673200
2020-02-07,472.000000,481.730011,466.779999,478.690002,478.690002,1194400
2020-02-10,479.109985,491.692993,476.529999,491.690002,491.690002,1865000
2020-02-11,494.070007,499.880005,489.109985,492.750000,492.750000,2693000
2020-02-12,568.900024,593.890015,529.000000,531.250000,531.250000,9779400
2020-02-13,533.010010,554.780029,530.706970,532.969971,532.969971,4522500
2020-02-14,541.000000,542.200012,523.330017,531.219971,531.219971,2208200
2020-02-18,534.000000,548.880005,532.000000,536.409973,536.409973,2446400
2020-02-19,544.049988,549.684998,538.640015,543.210022,543.210022,1785800
2020-02-20,542.690002,547.184998,507.399994,535.580017,535.580017,2466900
2020-02-21,531.239990,534.599976,511.609985,520.659973,520.659973,1925800
2020-02-24,482.000000,504.045013,476.000000,490.959991,490.959991,3288000
2020-02-25,500.000000,502.429993,456.459991,466.459991,466.459991,3408400
2020-02-26,459.250000,484.000000,459.040009,471.179993,471.179993,2532000
2020-02-27,452.279999,467.933014,427.934998,438.369995,438.369995,3716800
2020-02-28,422.635010,463.309998,420.500000,463.309998,463.309998,3455400
2020-03-02,483.200012,488.750000,461.596008,488.399994,488.399994,3255500
2020-03-03,501.480011,503.000000,467.519989,476.940002,476.940002,3157200
2020-03-04,489.000000,514.000000,486.000000,512.229980,512.229980,2694500
2020-03-05,495.000000,512.375000,491.250000,498.220001,498.220001,2460200
2020-03-06,480.000000,491.200012,459.147003,472.070007,472.070007,2913500
2020-03-09,430.820007,446.079987,416.510010,418.320007,418.320007,2986600
2020-03-10,445.000000,450.500000,420.630005,450.339996,450.339996,2864100
2020-03-11,435.250000,442.000000,406.329987,422.309998,422.309998,2812600
2020-03-12,371.000000,403.570007,366.100006,377.779999,377.779999,4419400
